movieId,title,genres,year,director,actors
241658,Inside the Russian Info War Machine,Documentary,2018,Paul Moreira,"Aymeric Chauprade, Al Franken, Thierry Mariani"
165667,Somnus,Adventure|Sci-Fi|Thriller,2016,Chris Reading,"Rohit Gokani, Victoria Oliver, Robert Myler"
206369,The Cursed Village,Drama,1930,Florián Rey,"Carmen Viance, Pedro Larrañaga, Amelia Muñoz"
156237,The Escape,Crime|Drama,1939,Ricardo Cortez,"Kane Richmond, Amanda Duff, June Gale"
236037,Lady Beware,Crime|Horror|Romance|Thriller,1987,Karen Arthur,"Diane Lane, Michael Woods, Cotter Smith"
8919,P.S.,Comedy|Drama|Fantasy|Romance,2004,Dylan Kidd,"Laura Linney, Gabriel Byrne, Lois Smith"
130044,Late Phases,Drama|Horror,2014,Adrián García Bogliano,"Nick Damici, Ethan Embry, Lance Guest"
255571,We Need to Do Something,Horror|Thriller,2021,Sean King O'Grady,"Sierra McCormick, Vinessa Shaw, Pat Healy"
79725,Prodigal Sons,Documentary,2008,Kimberly Reed,"Kimberly Reed, Carol McKerrow, Marc McKerrow"
94266,"Five-Year Engagement, The",Comedy|Romance,2012,Nicholas Stoller,"Jason Segel, Emily Blunt, Rhys Ifans"
143385,Bridge of Spies,Drama|Thriller,2015,Steven Spielberg,"Tom Hanks, Mark Rylance, Amy Ryan"
208170,Arsenio Hall: Smart and Classy,Comedy,2019,Brian Volk-Weiss,Arsenio Hall
83796,Anything for Her (Pour elle),Crime|Drama|Thriller,2008,Fred Cavayé,"Vincent Lindon, Diane Kruger, Lancelot Roch"
212847,After Midnight,Drama|Horror|Romance,2020,Jeremy Gardner,"Jeremy Gardner, Henry Zebrowski, Brea Grant"
139845,Fit,(no genres listed),1994,Athina Rachel Tsangari,Lizzie Curry Martinez
92843,"Three Musketeers, The",Adventure|Comedy|Musical,1939,Allan Dwan,"Don Ameche, Al Ritz, Harry Ritz"
180235,Panchathantiram,Action|Comedy,2002,K. S. Ravikumar,"Kamal Haasan, Jayaram, Ramesh Aravind"
69768,Magnificent Obsession,Drama|Romance,1935,John M. Stahl,"Irene Dunne, Robert Taylor, Charles Butterworth"
181815,How to Have an Accident at Work,Animation,1959,Charles A. Nichols,"Clarence Nash, Bill Thompson"
273849,Chandigarh Kare Aashiqui,Crime|Drama|Romance,2021,Abhishek Kapoor,"Ayushmann Khurrana, Vaani Kapoor, Kanwaljit Singh"
276101,The Good Neighbor,Thriller,2022,Stephan Rick,"Jonathan Rhys Meyers, Luke Kleintank, Eloise Smyth"
141680,Tom and Jerry,Comedy|Drama|Romance,1955,Unknown,
214042,Crossword Mysteries: A Puzzle to Die For,Mystery,2019,Don McCutcheon,"Lacey Chabert, Brennan Elliott, Barbara Niven"
211141,Echo,Drama,2020,Rúnar Rúnarsson,"Ragnar Jónsson, Bjarki Thor, Sigurmar Albertsson"
262595,Sapporo Winter Olympics,Documentary,1972,Masahiro Shinoda,"Masaya Takahashi, Kyôko Kishida"
271,Losing Isaiah,Drama,1995,Stephen Gyllenhaal,"Jessica Lange, Halle Berry, David Strathairn"
281600,If These Walls Could Sing,Documentary,2022,Mary McCartney,"Mary McCartney, Paul McCartney, Ringo Starr"
99114,Django Unchained,Action|Drama|Western,2012,Quentin Tarantino,"Jamie Foxx, Christoph Waltz, Leonardo DiCaprio"
139691,Flight 29 Down: The Hotel Tango,Adventure|Children|Drama,2007,D.J. MacHale,"Allen Alvarado, Johnny Pacar, Lauren Storm"
169386,Ogres,Drama,2016,Léa Fehner,"Adèle Haenel, Marc Barbé, François Fehner"
184255,Interview with a Serial Killer,Documentary,2008,Christopher Martin,Arthur Shawcross
1450,Prisoner of the Mountains (Kavkazsky plennik),War,1996,Sergei Bodrov,"Oleg Menshikov, Sergei Bodrov Jr., Jemal Sikharulidze"
152759,AVH: Alien vs. Hunter,Action|Horror|Sci-Fi,2007,Scott Harper,"William Katt, Dedee Pfeiffer, Wittly Jourdan"
150894,Naruto the Movie: Ninja Clash in the Land of Snow,Action|Adventure|Animation|Comedy,2004,Tensai Okamura,"Junko Takeuchi, Chie Nakamura, Noriaki Sugiyama"
98815,Mon Paradis - Der Winterpalast,Documentary,2001,Elfi Mikesch,
212907,Holly Slept Over,Comedy,2020,Joshua Friedlander,"Josh Lawson, Britt Lower, Nathalie Emmanuel"
207954,Donato and Daughter,Action|Crime|Drama,1993,Rod Holcomb,"Charles Bronson, Dana Delany, Xander Berkeley"
132762,A Night Full of Rain,Drama,1978,Lina Wertmüller,"Giancarlo Giannini, Candice Bergen, Michael Tucker"
8923,Tess,Drama|Romance,1979,Roman Polanski,"Nastassja Kinski, Peter Firth, Leigh Lawson"
475,In the Name of the Father,Drama,1993,Jim Sheridan,"Daniel Day-Lewis, Pete Postlethwaite, Emma Thompson"
148657,Loham,Drama|Thriller,2015,Ranjith,"Mohanlal, Andrea Jeremiah, Siddique"
78642,Magic Man,Crime|Mystery|Thriller,2009,Stuart Cooper,"Billy Zane, Alexander Nevsky, Robert Davi"
221142,Twenty Minutes of Love,Comedy,1914,Charlie Chaplin,"Charlie Chaplin, Minta Durfee, Edgar Kennedy"
160159,The Hero of Color City,Animation,2014,Frank Gladstone,"Christina Ricci, Sean Astin, Jessica Capshaw"
235935,Hard Luck Love Song,Drama|Romance|Thriller,2020,Justin Corsbie,"Michael Dorman, Sophia Bush, RZA"
131552,Stitches,Comedy,1985,Rod Holcomb,"Parker Stevenson, Geoffrey Lewis, Brian Tochi"
184007,Ánimas Trujano,Drama,1962,Ismael Rodríguez,"Toshirō Mifune, Columba Domínguez, Flor Silvestre"
145158,Sharpshooter,Action|Thriller,2008,,
277492,On Air,Horror|Thriller,2012,Carsten Vauth,"Jasmin Lord, Markus Knüfken, Jessica Ginkel"
278478,The Return of the Prodigal Son,Drama,1976,Youssef Chahine,"Hesham Selim, Majida El Roumi, Ahmed Mehrez"
6998,House of Cards,Drama,1993,Michael Lessac,"Tommy Lee Jones, Asha Menina, Kathleen Turner"
112897,The Expendables 3,Action|Adventure,2014,Patrick Hughes,"Sylvester Stallone, Jason Statham, Harrison Ford"
189521,Maternal Instincts,Drama|Thriller,1996,George Kaczender,"Delta Burke, Beth Broderick, Garwin Sanford"
157859,Santa Claus,Comedy,2014,Alexandre Coffre,"Tahar Rahim, Victor Cabal, Amélie Glenn"
261693,Big Stakes,Western,1922,Clifford S. Elfelt,"J.B. Warner, Elinor Fair, Les Bates"
190865,Addio fottuti musi verdi,Comedy,2017,Francesco Capaldo,"Ciro Priello, Fabio Balsamo, Simone Russo"
261205,Double Agent 73,Comedy,1974,Doris Wishman,"Chesty Morgan, Frank Silvano, Saul Meth"
141844,12 Chairs,Adventure|Comedy,1971,Leonid Gaidai,"Archil Gomiashvili, Sergei Filippov, Mikhail Pugovkin"
190405,Stalk of the Celery Monster,Animation,1979,Tim Burton,
117718,Barely Legal,Comedy,2011,Jose Montesinos,"Jeneta St. Clair, Lisa Younger, Melissa Johnston"
125231,Real,Drama|Sci-Fi,2013,Kiyoshi Kurosawa,"Takeru Satoh, Haruka Ayase, Joe Odagiri"
250478,Alien: Night Shift,Horror|Sci-Fi,2019,Aidan Brezonick,"T.K. Richardson, Amber Gaston, Christopher Murray"
139996,Firefighters,Comedy,1985,Neri Parenti,"Paolo Villaggio, Lino Banfi, Massimo Boldi"
186419,The Life of Fish,Drama|Romance,2010,Matías Bize,"Santiago Cabrera, Blanca Lewin, Antonia Zegers"
236199,Varmints,(no genres listed),2008,Marc Craste,
286231,Love Again,Drama|Romance,2023,Jim Strouse,"Priyanka Chopra Jonas, Sam Heughan, Céline Dion"
105204,Saint (Sint),Horror,2010,Dick Maas,"Huub Stapel, Egbert Jan Weeber, Caro Lenssen"
287659,Claydream,Documentary,2022,Marq Evans,"Will Vinton, Bill Plympton, Peter Lord"
156960,The Cheerleader Murders,Thriller,2016,David Jackson,"Amanda Leighton, Samantha Boscarino, Hannah Kasulka"
160648,Black Mountain Side,Horror|Thriller,2016,Nick Szostakiwskyj,"Shane Twerdun, Michael Dickson, Carl Toftfelt"
190383,America As Seen By a Frenchman,(no genres listed),1960,François Reichenbach,"Jean Cocteau, Paul Klinger, June Richmond"
178251,Robert Williams Mr. Bitchin',(no genres listed),2013,Mary C Reese,"Robert Williams, Suzanne Williams, Don Ed Hardy"
277710,Andala Rakshasi,Drama|Romance,2012,Hanu Raghavapudi,"Lavanya Tripathi, Rahul Ravindran, Naveen Chandra"
68874,"Jeanne Dielman, 23 Quai du Commerce, 1080 Bruxelles",Drama,1080,,
125587,The Fountain of Youth,(no genres listed),1958,Orson Welles,"Marjorie Bennett, Madge Blake, Billy House"
211990,ABC of a Strike,Documentary,1990,Leon Hirszman,"Ferreira Gullar, Luiz Inácio Lula da Silva, Leon Hirszman"
257385,Clue: Maltesergåten,Action|Crime|Thriller,2021,Thale Persen,"Julia Mælumshagen Nymoen, Kenza Olympia Iteka, Felix Sollie"
88099,Streets of Laredo,Drama|Western,1995,,
27604,Suicide Club (Jisatsu saakuru),Horror|Mystery|Thriller,2001,,
176817,The Refrigerator,Comedy|Fantasy|Horror,1991,Nicholas Jacobs,"Julia McNeal, Dave Simonds, Phyllis Salaberrios"
177567,Gun Shy,Action|Adventure|Comedy,2017,Simon West,"Antonio Banderas, Olga Kurylenko, Mark Valley"
287529,Bashful,Comedy,1917,Alfred J. Goulding,"Harold Lloyd, Harry 'Snub' Pollard, Bebe Daniels"
168102,Mexican Fantasy,Documentary,1998,Sergei Eisenstein,"Alexandra Scheff, Grigori Aleksandrov, Sergei Eisenstein"
217481,The Unborn,Horror,2020,Tal Lazar,"Manni L. Perez, Chris Bellant, Clifton Samuels"
3927,Fantastic Voyage,Adventure|Sci-Fi,1966,Richard Fleischer,"Stephen Boyd, Raquel Welch, Edmond O'Brien"
95036,Late Bloomers,Drama,2011,Julie Gavras,"William Hurt, Isabella Rossellini, Doreen Mantle"
273113,Sounds from a Town I Love,Comedy,2001,Woody Allen,"Howard Spiegel, Olivia Hayman, Michael Emerson"
234087,A Song from the Heart,Drama|Romance,1999,Marcus Cole,"Amy Grant, D.W. Moffett, Anne Marie DeLuise"
165131,The Park Bench,Comedy|Romance,2015,Ann LeSchander,"Walter Perez, Nicole Hayden, Stella Maeve"
207830,Terminator: Dark Fate,Action|Sci-Fi,2019,Tim Miller,"Linda Hamilton, Arnold Schwarzenegger, Mackenzie Davis"
190319,The Exchange,Comedy,2017,Ignacio Nacho,"Pepón Nieto, Natalia Roig, Paco Tous"
184587,The Fisherman,Sci-Fi,2015,Alejandro Suárez Lozano,Andrew Ng
245826,Live Nude Girls,Comedy,2014,Jay Leggett,"Dave Foley, Tera Patrick, Andy Dick"
206389,Photo de famille,Comedy|Drama,2018,Cécilia Rouaud,"Vanessa Paradis, Camille Cottin, Pierre Deladonchamps"
26889,Blood & Donuts,Comedy|Horror,1995,Holly Dale,"Gordon Currie, Louis Ferreira, Helene Clarkson"
152,"Addiction, The",Drama|Horror,1995,Abel Ferrara,"Lili Taylor, Christopher Walken, Annabella Sciorra"
190495,Hot Dog,Action|Comedy,2018,Torsten Künstler,"Til Schweiger, Matthias Schweighöfer, Anne Schäfer"
98933,Yossi (Ha-Sippur Shel Yossi),Drama|Romance,2012,Eytan Fox,"Ohad Knoller, Oz Zehavi, Lior Ashkenazi"
253262,Sennan Asbestos Disaster,Documentary,2016,Kazuo Hara,
141524,The Price of Sex,Documentary,2011,Mimi Chakarova,Mimi Chakarova
214064,Miami Bici,Comedy,2020,Jesús del Cerro,"Ada Condeescu, Matei Dima, Codin Maticiuc"
276885,The Roundup,Action|Crime,2022,Lee Sang-yong,"Ma Dong-seok, Son Suk-ku, Choi Gwi-hwa"
284755,The Ritual Killer,Action|Thriller,2023,George Gallo,"Morgan Freeman, Cole Hauser, Vernon Davis"
72167,"Boondock Saints II: All Saints Day, The",Action|Crime|Drama|Thriller,2009,Troy Duffy,"Sean Patrick Flanery, Norman Reedus, Billy Connolly"
274951,Armored Command,Drama|War,1961,Byron Haskin,"Howard Keel, Tina Louise, Burt Reynolds"
101352,I Am Comic,Documentary,2010,Jordan Brady,"Ahmed Ahmed, Franklyn Ajaye, Ant"
144037,The Other,Drama,2007,Ariel Rotter,"Julio Chávez, María Onetto, María Ucedo"
169066,Dark Fortune,Drama,2016,Stefan Haupt,"Eleni Haupt, Noé Ricklin, Elisa Plüss"
154130,I camionisti,(no genres listed),1982,Flavio Mogherini,"Andrea Roncato, Gigi Sammarchi, Daniela Poggi"
250676,Dinocroc vs. Supergator,Horror|Sci-Fi,2010,Jim Wynorski,"David Carradine, Rib Hillis, Amy Holt"
208553,River of Fundament,(no genres listed),2014,Matthew Barney,"Chief Dave Beautiful Bald Eagle, Milford Graves, John Buffalo Mailer"
201254,Zoey to the Max,Drama,2015,Jim Valdez,"Cassidy Mack, Amy Smart, Grant Bowler"
257641,The Woman in the House,Drama,1942,Sammy Lee,"John Nesbitt, Ann Richards, Peter Cushing"
166639,The Whistleblower,Drama,2014,Yim Soon-rye,"Park Hae-il, Lee Kyung-young, Yoo Yeon-seok"
5441,Traces of Red,Mystery|Thriller,1992,Andy Wolk,"Jim Belushi, Lorraine Bracco, Tony Goldwyn"
124093,Little Nellie Kelly,Children|Comedy,1940,Norman Taurog,"Judy Garland, George Murphy, Charles Winninger"
275139,Cloudy Mountain,Action,2021,Li Jun,"Zhu Yilong, Huang Zhizhong, Chen Shu"
212162,Intervals,Documentary,1969,,
122918,Guardians of the Galaxy 2,Action|Adventure|Sci-Fi,2017,James Gunn,"Chris Pratt, Zoe Saldaña, Dave Bautista"
99591,Neo Ned,Drama|Romance,2005,Van Fischer,"Jeremy Renner, Gabrielle Union, Michael Shamus Wiles"
342,Muriel's Wedding,Comedy,1994,P.J. Hogan,"Toni Collette, Bill Hunter, Rachel Griffiths"
180547,The Wild Ride,Drama,1960,Harvey Berman,"Jack Nicholson, Georgianna Carter, Robert Bean"
194558,Lead Us Not Into Temptation,Drama,2011,Cheyenne Carron,"Jean-François Garreaud, Agnès Delachair, Swann Arlaud"
231701,Kill Bill: The Whole Bloody Affair,Action|Crime,2011,Quentin Tarantino,"Uma Thurman, Lucy Liu, Vivica A. Fox"
193960,Wildlife,Drama,2018,Paul Dano,"Jake Gyllenhaal, Carey Mulligan, Ed Oxenbould"
182067,Officer Duck,Animation,1939,Clyde Geronimi,"Clarence Nash, Billy Bletcher"
243530,Hot Chicks,Drama,2014,Ninja Thyberg,"Jenny Hutton, Hedda Stiernstedt, Nanna Blondell"
161173,Outlaws and Angels,Drama|Thriller|Western,2016,JT Mollner,"Francesca Eastwood, Chad Michael Murray, Frances Fisher"
139719,Todd Barry: The Crowd Work Tour,Comedy,2014,Lance Bangs,Todd Barry
122643,Wild Orchids,Drama|Romance,1929,Sidney Franklin,"Greta Garbo, Lewis Stone, Nils Asther"
177451,Just Like Our Parents,Drama,2017,Laís Bodanzky,"Maria Ribeiro, Paulo Vilhena, Clarisse Abujamra"
188059,Kashtanka,Animation|Children|Fantasy,1952,Mikhail Tsekhanovskiy,"Boris Chirkov, Vladimir Feoktistov, Vladimir Gribkov"
173799,Winter Cherries,Comedy|Drama|Romance,1985,Igor Maslennikov,"Elena Safonova, Vitali Solomin, Nina Ruslanova"
157002,The Battle,Drama|War,1911,D.W. Griffith,"Charles West, Blanche Sweet, Charles Hill Mailes"
189227,Bronze: Zetsuai Since 1989,(no genres listed),1989,,
253296,Coureur,Drama,2019,Kenneth Mercken,"Fortunato Cerlino, Karlijn Sileghem, Koen De Graeve"
161614,I Love You Rosa,Drama,1972,Moshé Mizrahi,"Michal Bat-Adam, Gabi Otterman, Yosef Shiloach"
137563,Stung,Comedy|Horror,2015,Benni Diez,"Matt O'Leary, Jessica Cook, Lance Henriksen"
214971,American Dreamer,Action|Adventure|Comedy|Crime|Romance,1984,Rick Rosenthal,"JoBeth Williams, Tom Conti, Giancarlo Giannini"
283713,Play Dead,Horror|Thriller,2022,Patrick Lussier,"Bailee Madison, Jerry O'Connell, Anthony Turpel"
132995,Dear Lemon Lima,Drama,2009,Suzi Yoonessi,"Savanah Wiltfong, Shayne Topp, Beth Grant"
186299,Thirty Souls,Documentary,2017,Diana Toucedo,"Alba Arias, Samuel Vilariño, Tegra Romeo"
88022,Hot Coffee,Documentary,2011,Susan Saladoff,"Joan Claybrook, Oliver Diaz, Joanne Doroshow"
7981,Infernal Affairs (Mou gaan dou),Crime|Drama|Thriller,2002,Alan Mak,"Andy Lau Tak-Wah, Tony Leung Chiu-wai, Anthony Wong Chau-Sang"
70175,Fragments,Crime|Drama,2008,Rowan Woods,"Kate Beckinsale, Forest Whitaker, Guy Pearce"
271389,"Help, I Shrunk My Friends",Adventure|Children|Comedy|Fantasy,2021,Granz Henman,"Oskar Keymer, Lina Hüesker, Anja Kling"
251876,Wolfshead: The Legend of Robin Hood,(no genres listed),1973,John Hough,"David Warbeck, Kathleen Byron, Ciaran Madden"
189761,Les Tuche 3,Comedy,2018,Olivier Baroux,"Jean-Paul Rouve, Isabelle Nanty, Claire Nadeau"
123441,Certain Fury,(no genres listed),1985,Stephen Gyllenhaal,"Tatum O'Neal, Irene Cara, Nicholas Campbell"
5693,Saturday Night Fever,Comedy|Drama|Romance,1977,John Badham,"John Travolta, Karen Lynn Gorney, Barry Miller"
198779,Isolated,Adventure|Drama|Thriller,2014,,
5785,Jackass: The Movie,Action|Comedy|Documentary,2002,Jeff Tremaine,"Johnny Knoxville, Bam Margera, Steve-O"
146040,Three Men in a Boat,Comedy,1979,Naum Birman,"Andrey Mironov, Aleksandr Shirvindt, Mikhail Derzhavin"
261565,I'll End Up in Jail,Drama,2019,Alexandre Dostie,"Martine Francke, Émile Schneider, Guy Thauvette"
395,Desert Winds,Drama|Fantasy|Romance,1995,,
211456,Adult Babies,Comedy|Horror,2017,Dominic Brunt,"Andrew Dunn, Kate Coogan, Sally Dexter"
278276,The Shadow Over Innsmouth,Horror,1992,Chiaki J. Konaka,"Shirō Sano, Renji Ishibashi, Michiko Kawai"
124803,Hard to Handle,Comedy|Romance,1933,Mervyn LeRoy,"James Cagney, Mary Brian, Allen Jenkins"
198241,Anemic Cinema,(no genres listed),1926,Marcel Duchamp,
2553,Village of the Damned,Horror|Sci-Fi|Thriller,1960,Wolf Rilla,"George Sanders, Barbara Shelley, Martin Stephens"
287005,That's Amor,Comedy|Romance,2022,Shaun Paul Piccinino,"Riley Dandy, Isaac Gonzalez Rossi, Daniel Edward Mora"
208321,Lillian,Drama,2019,Andreas Horvath,Patrycja Płanik
251088,Lost and Found,Documentary,2019,Orlando von Einsiedel,
132178,At World's End,Action|Adventure|Comedy|Thriller,2009,Tomas Villum Jensen,"Nikolaj Lie Kaas, Birgitte Hjort Sørensen, Nikolaj Coster-Waldau"
226516,"Young, High and Dead",Horror|Thriller,2013,Luke Brady,"Hannah Tointon, Nigel Boyle, Matthews Stathers"
166777,The Greasy Strangler,Comedy|Horror|Thriller,2016,Jim Hosking,"Michael St. Michaels, Sky Elobar, Elizabeth De Razzo"
105597,Romeo and Juliet,Drama|Romance,2013,Carlo Carlei,"Douglas Booth, Hailee Steinfeld, Damian Lewis"
92696,"Shrine, The",Horror,2010,Jon Knautz,"Aaron Ashmore, Cindy Sampson, Meghan Heffern"
208243,Yuki: The Snow Fairy,Adventure|Animation|Children,1981,,
113478,You and Me (Ty i ya),Drama,1971,,
203697,Holy Lands,Drama,2019,Amanda Sthers,"James Caan, Tom Hollander, Jonathan Rhys Meyers"
268282,A Great American Tragedy,Drama,1972,J. Lee Thompson,"George Kennedy, Vera Miles, William Windom"
62796,Fifty Pills,Comedy,2006,Theo Avgerinos,"Lou Taylor Pucci, Kristen Bell, John Hensley"
2600,eXistenZ,Action|Sci-Fi|Thriller,1999,David Cronenberg,"Jennifer Jason Leigh, Jude Law, Ian Holm"
134234,Lakshya,Action|Drama,2004,Farhan Akhtar,"Hrithik Roshan, Preity Zinta, Amitabh Bachchan"
192659,Liar's Edge,Thriller,1992,Ron Oliver,"Nicholas Shields, Shannon Tweed, David Keith"
169022,Classmates,Animation,2016,Shouko Nakamura,"Kenji Nojima, Hiroshi Kamiya, Hideo Ishikawa"
129528,Repatriation,Documentary,2006,Kim Dong-won,
92165,Go Get Some Rosemary (Daddy Longlegs),Comedy|Drama,2009,Benny Safdie,"Ronald Bronstein, Alex Greenblatt, Sage Ranaldo"
129266,Le Môme,Crime|Drama|Thriller,1986,Alain Corneau,"Richard Anconina, Ambre, Michel Duchaussoy"
153668,Innocent Sorcerers,Drama|Romance,1960,Andrzej Wajda,"Tadeusz Łomnicki, Krystyna Stypułkowska, Wanda Koczeska"
180217,Looks and Smiles,Drama,1981,Ken Loach,"Graham Green, Carolyn Nicholson, Tony Pitts"
161866,Rhythm on the Range,Western,1936,Norman Taurog,"Bing Crosby, Frances Farmer, Martha Raye"
201366,Haeckel's Tale,Horror,2006,John McNaughton,"Steve Bacic, Micki Maunsell, Gerard Plunkett"
284363,A House Divided,Comedy,1913,Alice Guy-Blaché,"Fraunie Fraunholz, Marian Swayne, Vinnie Burns"
282125,Ant-Man and the Wasp: Quantumania,Adventure|Comedy|Sci-Fi,2023,Peyton Reed,"Paul Rudd, Evangeline Lilly, Michael Douglas"
288261,A Beautiful Life,Drama|Romance,2023,Mehdi Avaz,"Christopher, Inga Ibsdotter Lilleaas, Christine Albeck Børge"
116768,Deliver Us from Evil,Thriller,2009,Ole Bornedal,"Pernille Vallentin, Lene Nystrøm, Lasse Rimmer"
285885,Girl Gang,Documentary,2022,Susanne Regina Meures,
89135,"Birds, the Bees and the Italians, The (Signore & signori)",Comedy,1966,Pietro Germi,"Virna Lisi, Gastone Moschin, Nora Ricci"
180141,Family Flaw,Comedy,2002,Alberto Simone,"Nino Manfredi, Lino Banfi, Carlo Cascone"
227701,Womaneater,Horror|Sci-Fi,1958,Charles Saunders,"George Coulouris, Vera Day, Peter Forbes-Robertson"
3108,"Fisher King, The",Comedy|Drama|Fantasy|Romance,1991,Terry Gilliam,"Robin Williams, Jeff Bridges, Amanda Plummer"
212309,The Neighbors' Window,Drama,2019,Marshall Curry,"Maria Dizzia, Greg Keller, Juliana Canfield"
266006,Refugee: The Eritrean Exodus,Documentary,2015,Chris Cotter,
130010,Escape to Glory,Drama,1940,John Brahm,"Pat O’Brien, Constance Bennett, John Halliday"
117999,"Rob Roy, The Highland Rogue",Adventure|Children|Drama|War,1954,Harold French,"Richard Todd, Glynis Johns, James Robertson Justice"
181797,Spare the Rod,Animation|Children|Comedy,1954,Jack Hannah,"Clarence Nash, Bill Thompson, Pinto Colvig"
103982,Frankenstein's Army,Action|Horror|Sci-Fi,2013,Richard Raaphorst,"Karel Roden, Joshua Sasse, Robert Gwilym"
145779,White Apache,(no genres listed),1987,Claudio Fragasso,"Sebastian Harrison, Lola Forner, Alberto Farnese"
220606,We Believe in Dinosaurs,Documentary,2020,Clayton Brown,
177319,No Way to Live,Crime|Drama|Thriller,2016,David Guglielmo,"Freya Tingley, Tom Williamson, Timothy V. Murphy"
184581,We,Drama|Romance|Sci-Fi,1981,Vojtěch Jasný,"Dieter Laser, Sabine von Maydell, Gert Haucke"
196739,If There's a Hell Below,Drama|Mystery|Thriller,2016,Nathan Williams,"Carol Roscoe, Conner Marx, Mark Carr"
206865,"China, o Império do Centro",Documentary,1987,João Moreira Salles,José Wilker
140501,Island of the Blue Dolphins,Children|Drama,1964,James B. Clark,"Celia Milius, Larry Domasin, Ann Daniel"
139018,Sub Zero,Thriller,2005,Jim Wynorski,"Costas Mandylor, Nia Peeples, Linden Ashby"
140471,The Pretender: Island of the Haunted,(no genres listed),2001,Frederick King Keller,"Michael T. Weiss, Andrea Parker, Patrick Bauchau"
130008,Rio,Crime,1939,John Brahm,"Basil Rathbone, Victor McLaglen, Sigrid Gurie"
275631,Rampe & Naukkis - Kaikkien aikojen superpari,Comedy,1990,Hannu Seikkula,"Pirkka-Pekka Petelius, Aake Kalliala, Mikko Kivinen"
209659,Government Woman,Comedy,2013,Sermiyan Midyat,"Demet Akbağ, Sermiyan Midyat, Mahir İpek"
147775,Dancing on the Edge,Drama,2013,,
212945,"Live Twice, Love Once",Comedy|Drama,2019,María Ripoll,"Inma Cuesta, Oscar Martínez, Mafalda Carbonell"
132220,Born Reckless,Drama|Romance|Western,1958,Howard W. Koch,"Mamie Van Doren, Jeff Richards, Arthur Hunnicutt"
7127,Run,Action|Drama|Thriller,1991,Geoff Burrowes,"Patrick Dempsey, Kelly Preston, Ken Pogue"
123913,Gribouille,(no genres listed),1937,Marc Allégret,"Raimu, Michèle Morgan, Gilbert Gil"
213247,Mardaani 2,Action|Crime|Thriller,2019,Gopi Puthran,"Rani Mukerji, Vishal Jethwa, Rajesh Sharma"
182129,The Four Musicians of Bremen,Animation,1922,Walt Disney,
203573,Moon Child,Drama|Fantasy|Sci-Fi,1989,Agustí Villaronga,"Maribel Martín, Lisa Gerrard, Lucia Bosè"
33019,Barefoot (Barfuss),Comedy|Drama|Romance,2005,Til Schweiger,"Til Schweiger, Johanna Wokalek, Nadja Tiller"
26398,Capricorn One,Drama|Sci-Fi|Thriller,1978,Peter Hyams,"Elliott Gould, James Brolin, Brenda Vaccaro"
91694,Intruders,Horror|Thriller,2011,Juan Carlos Fresnadillo,"Clive Owen, Carice van Houten, Ella Purnell"
200618,Blondie's Anniversary,Comedy,1947,Abby Berlin,"Penny Singleton, Arthur Lake, Larry Simms"
156667,Duel on the Mississippi,Drama,1955,William Castle,"Lex Barker, Patricia Medina, Warren Stevens"
258957,Terminally Happy,(no genres listed),2016,Adina Istrate,"Alastair Mackenzie, Emma Campbell-Jones, William Stagg"
